FROM_STATION,TO_STATION,FLOW
车公庙站,吉祥站,291
车公庙站,塘坑站,529
车公庙站,南联站,346
车公庙站,双龙站,388
车公庙站,大新站,1436
车公庙站,后海站,1960
车公庙站,莲花西站,196
车公庙站,莲花村站,387
车公庙站,翠竹站,642
车公庙站,荷坳站,283
车公庙站,老街站,1402
车公庙站,莲花北站,271
车公庙站,翻身站,901
车公庙站,红树湾站,40
车公庙站,罗湖站,1104
车公庙站,白石龙站,2625
车公庙站,百鸽笼站,771
车公庙站,白石洲站,2420
车公庙站,华侨城站,599
车公庙站,丹竹头站,1462
车公庙站,东角头站,540
车公庙站,下水径站,731
车公庙站,前海湾站,98
车公庙站,侨城东站,920
车公庙站,湖贝站,529
车公庙站,华强北站,485
车公庙站,世界之窗站,1873
车公庙站,侨城北站,199
车公庙站,六约站,546
车公庙站,会展中心站,2747
车公庙站,侨香站,244
车公庙站,兴东站,390
车公庙站,临海站,24
车公庙站,华新站,584
车公庙站,五和站,1845
车公庙站,上水径站,410
车公庙站,国贸站,1553
车公庙站,固戍站,2159
车公庙站,后瑞站,563
车公庙站,福永站,1489
车公庙站,南山站,3846
车公庙站,机场站,723
车公庙站,碧海湾站,2360
车公庙站,宝安站,1246
车公庙站,桥头站,1306
车公庙站,机场北站,5
车公庙站,香蜜湖站,516
车公庙站,鲤鱼门站,678
车公庙站,大芬站,1355
车公庙站,太安站,623
车公庙站,大运站,190
车公庙站,福田口岸站,1028
车公庙站,竹子林站,1873
车公庙站,福田站,2083
车公庙站,红山站,1215
车公庙站,科学馆站,1304
车公庙站,科苑站,489
车公庙站,红岭站,512
车公庙站,上梅林站,1692
车公庙站,高新园站,1882
车公庙站,香蜜站,141
车公庙站,安托山站,265
车公庙站,坂田站,827
车公庙站,福民站,1291
车公庙站,少年宫站,361
车公庙站,岗厦站,2636
车公庙站,坪洲站,2634
车公庙站,宝体站,444
车公庙站,市民中心站,318
车公庙站,益田站,755
车公庙站,石厦站,1962
车公庙站,深湾站,44
车公庙站,布吉站,1466
车公庙站,上塘站,1249
车公庙站,深圳湾公园站,624
车公庙站,民治站,1624
车公庙站,怡景站,375
车公庙站,民乐站,1696
车公庙站,布心站,410
车公庙站,横岗站,688
车公庙站,新安站,402
车公庙站,蛇口港站,179
购物公园站,西丽站,464
购物公园站,西乡站,569
购物公园站,长龙站,234
购物公园站,草埔站,389
购物公园站,香梅北站,199
购物公园站,龙井站,167
购物公园站,龙城广场站,206
购物公园站,珠光站,302
购物公园站,龙华站,682
购物公园站,沙尾站,1130
购物公园站,上沙站,892
购物公园站,皇岗村站,158
购物公园站,农林站,246
购物公园站,桃源村站,366
购物公园站,皇岗口岸站,188
购物公园站,西丽湖站,160
购物公园站,深云站,88
购物公园站,茶光站,238
购物公园站,华强路站,2440
购物公园站,龙胜站,613
购物公园站,黄贝岭站,815
购物公园站,红树湾南站,35
购物公园站,红岭北站,471
购物公园站,笋岗站,483
购物公园站,赤尾站,256
购物公园站,洪湖站,100
购物公园站,华强南站,63
购物公园站,黄木岗站,186
购物公园站,八卦岭站,280
购物公园站,下沙站,535
购物公园站,文锦站,28
购物公园站,梅景站,247
购物公园站,香梅站,84
购物公园站,人民南站,9
购物公园站,向西村站,34
购物公园站,下梅林站,278
购物公园站,鹿丹村站,35
购物公园站,松岗站,97
购物公园站,马安山站,72
购物公园站,梅村站,153
购物公园站,孖岭站,94
购物公园站,红岭南站,23
购物公园站,沙井站,153
购物公园站,后亭站,48
购物公园站,泥岗站,195
购物公园站,园岭站,361
购物公园站,碧头站,35
购物公园站,银湖站,44
购物公园站,塘尾站,71
购物公园站,水贝站,198
购物公园站,深康站,62
购物公园站,清湖站,706
购物公园站,深大站,1154
购物公园站,深圳北站,628
购物公园站,水湾站,195
购物公园站,湾厦站,163
购物公园站,爱联站,260
购物公园站,田贝站,386
购物公园站,燕南站,88
购物公园站,登良站,282
购物公园站,灵芝站,341
购物公园站,留仙洞站,126
购物公园站,海月站,306
购物公园站,洪浪北站,192
购物公园站,永湖站,75
购物公园站,海上世界站,84
购物公园站,机场东站,188
购物公园站,新秀站,295
购物公园站,晒布站,549
购物公园站,桃园站,1084
购物公园站,景田站,650
购物公园站,杨美站,280
购物公园站,木棉湾站,570
购物公园站,岗厦北站,109
购物公园站,宝安中心站,357
购物公园站,宝华站,36
购物公园站,大学城站,118
购物公园站,大剧院站,2474
购物公园站,塘朗站,72
购物公园站,通新岭站,528
购物公园站,吉祥站,196
购物公园站,塘坑站,346
购物公园站,南联站,239
购物公园站,双龙站,261
购物公园站,大新站,1095
购物公园站,后海站,585
购物公园站,莲花西站,181
购物公园站,莲花村站,554
购物公园站,翠竹站,594
购物公园站,荷坳站,188
购物公园站,老街站,1300
购物公园站,莲花北站,553
购物公园站,翻身站,281
购物公园站,红树湾站,52
购物公园站,罗湖站,987
购物公园站,白石龙站,736
购物公园站,百鸽笼站,395
购物公园站,白石洲站,1702
购物公园站,华侨城站,504
购物公园站,丹竹头站,712
购物公园站,东角头站,200
购物公园站,下水径站,288
购物公园站,前海湾站,12
购物公园站,侨城东站,904
购物公园站,湖贝站,322
购物公园站,华强北站,159
购物公园站,世界之窗站,1427
购物公园站,侨城北站,89
购物公园站,六约站,312
购物公园站,会展中心站,849
购物公园站,侨香站,212
购物公园站,兴东站,145
购物公园站,临海站,11
购物公园站,华新站,667
购物公园站,五和站,576
购物公园站,上水径站,156
购物公园站,国贸站,1254
购物公园站,固戍站,725
购物公园站,后瑞站,286
购物公园站,福永站,186
购物公园站,南山站,726
购物公园站,机场站,195
购物公园站,碧海湾站,374
购物公园站,宝安站,167
购物公园站,桥头站,169
购物公园站,香蜜湖站,730
购物公园站,鲤鱼门站,534
购物公园站,大芬站,736
购物公园站,太安站,289
购物公园站,大运站,218
购物公园站,福田口岸站,879
购物公园站,竹子林站,1347
购物公园站,福田站,403
购物公园站,红山站,604
购物公园站,科学馆站,1204
购物公园站,科苑站,291
购物公园站,红岭站,657
购物公园站,上梅林站,596
购物公园站,高新园站,1717
购物公园站,香蜜站,88
购物公园站,安托山站,70
购物公园站,坂田站,279
购物公园站,福民站,970
购物公园站,少年宫站,597
购物公园站,岗厦站,3203
购物公园站,坪洲站,1241
购物公园站,宝体站,272
购物公园站,市民中心站,247
购物公园站,益田站,1799
购物公园站,石厦站,1866
购物公园站,深湾站,21
购物公园站,布吉站,697
购物公园站,上塘站,398
购物公园站,深圳湾公园站,178
购物公园站,民治站,399
购物公园站,怡景站,209
购物公园站,民乐站,792
购物公园站,布心站,188
购物公园站,横岗站,357
购物公园站,新安站,273
购物公园站,蛇口港站,72
西丽站,西乡站,904
西丽站,长龙站,752
西丽站,草埔站,251
西丽站,香梅北站,124
西丽站,龙井站,979
西丽站,龙城广场站,140
西丽站,珠光站,1369
西丽站,龙华站,1066
西丽站,沙尾站,947
西丽站,上沙站,608
西丽站,皇岗村站,174
西丽站,农林站,597
西丽站,桃源村站,1424
西丽站,皇岗口岸站,123
西丽站,西丽湖站,1144
西丽站,深云站,316
西丽站,茶光站,282
西丽站,华强路站,172
西丽站,龙胜站,836
西丽站,黄贝岭站,532
西丽站,红树湾南站,16
西丽站,红岭北站,181
西丽站,笋岗站,150
西丽站,赤尾站,211
西丽站,洪湖站,85
西丽站,华强南站,366
西丽站,黄木岗站,140
西丽站,八卦岭站,171
西丽站,下沙站,715
西丽站,文锦站,11
西丽站,梅景站,148
西丽站,香梅站,179
西丽站,人民南站,32
西丽站,向西村站,40
西丽站,下梅林站,114
西丽站,鹿丹村站,32
西丽站,松岗站,174
西丽站,马安山站,161
西丽站,梅村站,93
西丽站,孖岭站,89
西丽站,红岭南站,35
西丽站,沙井站,246
西丽站,后亭站,116
西丽站,泥岗站,86
西丽站,园岭站,132
西丽站,碧头站,55
西丽站,银湖站,31
西丽站,塘尾站,133
西丽站,水贝站,83
西丽站,深康站,79
西丽站,清湖站,1495
西丽站,深大站,352
西丽站,深圳北站,3871
西丽站,水湾站,292
西丽站,湾厦站,103
西丽站,爱联站,163
西丽站,田贝站,150
西丽站,燕南站,145
西丽站,登良站,449
西丽站,灵芝站,2268
西丽站,留仙洞站,1179
西丽站,海月站,182
西丽站,洪浪北站,1850
西丽站,永湖站,62
西丽站,海上世界站,178
西丽站,机场东站,253
西丽站,新秀站,58
西丽站,晒布站,111
西丽站,桃园站,413
西丽站,景田站,454
西丽站,杨美站,1235
西丽站,木棉湾站,212
西丽站,岗厦北站,271
西丽站,宝安中心站,1190
西丽站,宝华站,369
西丽站,大学城站,2367
西丽站,大剧院站,511
西丽站,塘朗站,2319
西丽站,通新岭站,91
西丽站,吉祥站,152
西丽站,塘坑站,192
西丽站,南联站,145
西丽站,双龙站,275
西丽站,大新站,519
西丽站,后海站,752
西丽站,莲花西站,259
西丽站,莲花村站,89
西丽站,翠竹站,134
西丽站,荷坳站,140
西丽站,老街站,450
西丽站,莲花北站,149
西丽站,翻身站,1771
西丽站,红树湾站,69
西丽站,罗湖站,291
西丽站,白石龙站,457
西丽站,百鸽笼站,359
西丽站,白石洲站,83
西丽站,华侨城站,92
西丽站,丹竹头站,419
西丽站,东角头站,190
西丽站,下水径站,725
西丽站,前海湾站,94
西丽站,侨城东站,77
西丽站,湖贝站,179
西丽站,华强北站,710
西丽站,世界之窗站,342
西丽站,侨城北站,344
西丽站,六约站,205
西丽站,会展中心站,533
西丽站,侨香站,207
西丽站,兴东站,2605
西丽站,临海站,19
西丽站,华新站,260
西丽站,五和站,4480
西丽站,上水径站,785
西丽站,国贸站,230
西丽站,固戍站,966
西丽站,后瑞站,273
西丽站,福永站,334
西丽站,南山站,713
西丽站,机场站,273
西丽站,碧海湾站,140
西丽站,宝安站,34
西丽站,桥头站,210
西丽站,机场北站,1
西丽站,香蜜湖站,81
西丽站,鲤鱼门站,266
西丽站,大芬站,336
西丽站,太安站,234
西丽站,大运站,194
西丽站,福田口岸站,296
西丽站,竹子林站,210
西丽站,福田站,367
西丽站,红山站,325
西丽站,科学馆站,184
西丽站,科苑站,1285
西丽站,红岭站,114
西丽站,上梅林站,470
西丽站,高新园站,370
西丽站,香蜜站,62
西丽站,安托山站,296
西丽站,坂田站,2082
西丽站,福民站,367
西丽站,少年宫站,227
西丽站,岗厦站,333
西丽站,坪洲站,1119
西丽站,宝体站,334
西丽站,市民中心站,248
西丽站,益田站,334
西丽站,石厦站,482
西丽站,深湾站,12
西丽站,布吉站,1116
西丽站,上塘站,430
西丽站,深圳湾公园站,280
西丽站,民治站,4227
西丽站,怡景站,523
西丽站,民乐站,371
西丽站,布心站,208
西丽站,横岗站,257
西丽站,新安站,118
西丽站,蛇口港站,95
西乡站,长龙站,116
西乡站,草埔站,37
西乡站,香梅北站,32
西乡站,龙井站,87
西乡站,龙城广场站,31
西乡站,珠光站,205
西乡站,龙华站,344
西乡站,沙尾站,109
西乡站,上沙站,45
西乡站,皇岗村站,20
西乡站,农林站,18
西乡站,桃源村站,77
西乡站,皇岗口岸站,25
西乡站,西丽湖站,64
西乡站,深云站,25
西乡站,茶光站,147
西乡站,华强路站,737
西乡站,龙胜站,200
西乡站,黄贝岭站,94
西乡站,红树湾南站,13
西乡站,红岭北站,28
西乡站,笋岗站,26
西乡站,赤尾站,35
西乡站,洪湖站,8
西乡站,华强南站,11
西乡站,黄木岗站,16
西乡站,八卦岭站,20
西乡站,下沙站,144
西乡站,文锦站,1
西乡站,梅景站,32
西乡站,香梅站,14
西乡站,人民南站,1
西乡站,向西村站,2
西乡站,下梅林站,29
西乡站,鹿丹村站,2
西乡站,松岗站,85
西乡站,马安山站,44
西乡站,梅村站,39
西乡站,孖岭站,26
西乡站,红岭南站,1
西乡站,沙井站,93
西乡站,后亭站,17
西乡站,泥岗站,13
西乡站,园岭站,35
西乡站,碧头站,27
西乡站,银湖站,4
西乡站,塘尾站,41
西乡站,水贝站,27
西乡站,深康站,16
